State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000",,,,,,,,,,
CA,California,,,,,"4,062,367","3,566,578","1,784,772","1,462,266",37.4,32.8,16.4,13.4,"3,724,736","4,415,732","3,150,653","2,752,865",26.5,31.4,22.4,19.6,"4,450,528","4,167,897","5,710,400","4,366,674",23.8,22.3,30.5,23.4,"4,942,743","4,288,452","6,397,739","5,669,966",23.2,20.1,24.5,24.5,"21,680","35,600","37,068","32,259",17.1,28.1,25.5,29.3
CA,Alameda County,1,1,1,1,"217,589","197,371","87,675","86,038",37.0,33.5,14.9,14.6,"162,536","215,093","148,837","151,045",24.0,31.7,22.0,22.3,"155,606","190,822","250,389","241,487",18.6,22.8,29.9,28.8,"168,281","181,668","270,813","332,954",17.6,19.0,21.7,15.5,"8,566","18,298","9,463","13,594",17.2,36.7,27.2,19.0
CA,Alpine County,8,4,8,4,101,98,57,8,38.3,37.1,21.6,3.0,85,185,143,198,13.9,30.3,23.4,32.4,92,203,267,177,12.4,27.5,36.1,24.0,93,207,272,225,11.7,26.0,15.9,8.0,"1,466","2,116",448,947,29.5,42.5,19.0,9.0
CA,Amador County,6,4,6,4,"2,911","2,314","1,214",593,41.4,32.9,17.3,8.4,"2,987","5,491","2,760","1,626",23.2,42.7,21.5,12.6,"3,616","7,537","6,593","2,886",17.5,36.5,32.0,14.0,"4,096","7,721","9,479","4,253",16.0,30.2,17.5,10.9,"3,660","6,016","1,734","3,117",25.2,41.4,21.5,11.9
CA,Butte County,3,2,3,2,"24,482","17,743","8,511","6,299",42.9,31.1,14.9,11.0,"24,743","28,587","19,159","14,742",28.4,32.8,22.0,16.9,"25,712","28,746","38,071","22,379",22.4,25.0,33.1,19.5,"22,477","30,853","45,732","27,674",17.7,24.3,30.0,26.6,"4,602,986","5,153,257","7,708,909","7,400,714",18.5,20.7,29.8,31.0
CA,Calaveras County,6,6,6,6,"4,164","2,721","1,127",651,48.1,31.4,13.0,7.5,"3,293","5,630","3,060","1,915",23.7,40.5,22.0,13.8,"4,145","7,372","7,711","3,242",18.4,32.8,34.3,14.4,"4,176","8,346","11,683","4,996",14.3,28.6,28.4,34.9,"141,489","202,150","449,445","273,891",13.3,18.9,25.7,42.1
CA,Colusa County,6,4,6,4,"3,104","2,188","1,011",697,44.3,31.3,14.4,10.0,"2,719","2,565","1,457",947,35.4,33.4,19.0,12.3,"3,653","2,476","2,635","1,090",37.1,25.1,26.7,11.1,"3,927","2,635","3,188","1,162",36.0,24.1,34.1,28.2,72,247,257,266,8.6,29.3,31.6,30.5
CA,Contra Costa County,1,1,1,1,"96,353","101,602","50,423","51,659",32.1,33.9,16.8,17.2,"73,252","129,454","95,719","101,933",18.3,32.3,23.9,25.5,"72,071","120,589","171,851","168,205",13.5,22.6,32.3,31.6,"81,867","123,956","200,770","219,048",13.1,19.8,37.1,16.6,"3,344","7,910","5,877","11,602",11.6,27.5,40.4,20.5
CA,Del Norte County,7,8,7,8,"3,970","2,592",801,583,50.0,32.6,10.1,7.3,"3,579","4,288","1,920","1,097",32.9,39.4,17.6,10.1,"4,385","4,608","4,592","1,506",29.1,30.5,30.4,10.0,"5,235","5,070","6,126","2,028",28.4,27.5,36.1,21.8,"17,084","33,390","35,508","55,841",12.0,23.5,39.4,25.0
CA,El Dorado County,1,1,1,1,"9,251","9,356","4,194","2,660",36.3,36.7,16.5,10.4,"10,246","20,478","14,179","9,483",18.8,37.7,26.1,17.4,"11,928","24,068","30,869","17,547",14.1,28.5,36.6,20.8,"11,480","23,316","42,371","27,867",10.9,22.2,40.0,17.1,"2,524","9,077","7,080","14,942",7.5,27.0,44.4,21.1
CA,Fresno County,2,2,2,2,"100,900","59,798","30,997","21,697",47.3,28.0,14.5,10.2,"104,714","82,455","57,896","43,785",36.3,28.5,20.0,15.2,"130,252","83,536","106,640","65,308",33.8,21.7,27.6,16.9,"147,937","96,097","131,579","79,927",32.5,21.1,29.2,10.6,"4,151","3,247","1,896","3,950",31.3,24.5,29.8,14.3
CA,Glenn County,6,6,6,6,"4,673","3,460","1,244",704,46.4,34.3,12.3,7.0,"4,680","4,602","2,201","1,181",37.0,36.3,17.4,9.3,"5,035","4,529","4,207","1,434",33.1,29.8,27.7,9.4,"5,077","4,314","4,985","1,723",31.5,26.8,32.1,35.0,"80,627","137,565","287,586","223,328",11.1,18.9,30.6,39.4
CA,Humboldt County,5,8,5,8,"23,271","16,824","7,168","5,233",44.3,32.0,13.7,10.0,"15,070","22,098","15,275","11,537",23.6,34.5,23.9,18.0,"14,732","20,277","25,470","15,101",19.5,26.8,33.7,20.0,"12,298","20,960","29,488","18,755",15.1,25.7,33.2,11.0,"3,475","6,132","3,103","6,640",18.0,31.7,34.3,16.0
CA,Imperial County,3,2,3,2,"20,636","8,924","4,029","2,662",56.9,24.6,11.1,7.3,"23,647","11,906","7,943","4,616",49.1,24.7,16.5,9.6,"28,510","12,268","14,196","5,936",46.8,20.1,23.3,9.7,"34,258","18,378","22,355","8,641",41.0,22.0,40.3,26.5,"9,514","27,961","41,005","49,358",7.4,21.9,38.6,32.1
CA,Inyo County,7,8,7,11,"3,585","3,621","1,283",872,38.3,38.7,13.7,9.3,"3,010","4,911","2,309","1,416",25.8,42.2,19.8,12.2,"2,364","4,886","3,911","1,740",18.3,37.9,30.3,13.5,"2,220","3,934","4,259","2,153",17.7,31.3,28.9,17.5,"150,701","127,519","109,613","174,875",26.8,22.7,31.1,19.5
CA,Kern County,2,2,2,2,"82,559","49,872","23,272","15,231",48.3,29.2,13.6,8.9,"85,492","70,627","42,618","26,674",37.9,31.3,18.9,11.8,"103,269","80,323","93,256","42,361",32.4,25.2,29.2,13.3,"120,981","97,344","113,473","51,869",31.5,25.4,31.0,10.7,"4,387","4,939","2,797","5,673",24.7,27.8,31.9,15.7
CA,Kings County,3,2,3,2,"15,962","9,352","3,368","2,685",50.9,29.8,10.7,8.6,"15,916","12,635","6,056","3,910",41.3,32.8,15.7,10.2,"20,118","16,702","16,372","5,235",34.4,28.6,28.0,9.0,"24,033","22,291","22,777","7,994",31.2,28.9,36.2,23.0,"8,772","23,537","24,995","33,582",9.7,25.9,36.9,27.5
CA,Lake County,4,5,4,5,"6,696","4,334","1,508",968,49.6,32.1,11.2,7.2,"8,626","10,000","4,443","2,616",33.6,38.9,17.3,10.2,"10,477","11,357","10,279","3,848",29.1,31.6,28.6,10.7,"9,256","12,132","14,415","4,914",22.7,29.8,26.7,10.3,"36,928","23,192","14,204","31,664",34.8,21.9,29.9,13.4
CA,Lassen County,6,6,7,8,"4,150","3,422","1,285",717,43.3,35.7,13.4,7.5,"3,382","4,418","3,285","1,499",26.9,35.1,26.1,11.9,"4,808","4,602","6,188","2,057",27.2,26.1,35.0,11.7,"4,673","7,091","8,743","2,456",20.4,30.9,33.9,17.1,"1,570","4,354","2,835","4,501",11.8,32.8,33.9,21.4
CA,Los Angeles County,1,1,1,1,"1,506,170","1,294,477","655,534","504,563",38.0,32.7,16.6,12.7,"1,336,041","1,336,165","939,639","818,658",30.2,30.2,21.2,18.5,"1,642,813","1,134,608","1,480,359","1,223,442",30.0,20.7,27.0,22.3,"1,770,524","1,108,314","1,541,721","1,462,389",30.1,18.8,29.6,13.5,"136,969","133,544","76,887","159,077",27.0,26.4,31.4,15.2
